20250701 071600;22842.5;22845.5;22839.25;22843;206
20250701 071700;22843.25;22845.75;22841;22843.25;116
20250701 071800;22843;22845.5;22840.5;22842.25;53
20250701 071900;22841.5;22841.5;22832.5;22833.5;134
20250701 072000;22834;22841.25;22834;22839.5;111
20250701 072100;22839.5;22843.75;22839.5;22841.25;48
20250701 072200;22841;22841.5;22836.5;22838;66
20250701 072300;22838.5;22840.25;22836.5;22838.25;61
20250701 072400;22838.5;22838.75;22833.5;22834.75;87
20250701 072500;22835.5;22838.25;22832.25;22837.25;85
20250701 072600;22836.75;22838.75;22835.5;22837.25;91
20250701 072700;22838;22840;22836.25;22840;133
20250701 072800;22839.25;22843.25;22838.75;22841;135
20250701 072900;22841.75;22843;22841;22841.5;51
20250701 073000;22841.25;22842.75;22841;22842.5;56
20250701 073100;22843;22847.5;22843;22844.25;102
20250701 073200;22843;22844.5;22840.75;22843;68
20250701 073300;22842.5;22853.25;22841.5;22853.25;186
20250701 073400;22853.25;22854;22848.5;22848.75;90
20250701 073500;22849.5;22851.5;22846;22850.5;95
20250701 073600;22851;22852.5;22849.5;22850;104
20250701 073700;22850;22850.5;22845.5;22845.5;114
20250701 073800;22845.25;22846;22837.5;22837.75;90
20250701 073900;22838.25;22839.75;22835.25;22838.5;81
20250701 074000;22839;22840.25;22837.5;22837.5;66
20250701 074100;22837;22839.25;22834;22835.25;94
20250701 074200;22835.5;22837.75;22834;22836;48
20250701 074300;22836.5;22838;22834.5;22835.75;51
20250701 074400;22835.75;22839;22835.25;22836;57
20250701 074500;22835.5;22836.75;22834.25;22834.75;49
20250701 074600;22834;22837;22832.75;22833.75;64
20250701 074700;22834.25;22835.25;22832.25;22834.5;57
20250701 074800;22834.5;22837.25;22834.25;22837.25;79
20250701 074900;22836.75;22838.25;22834;22836.5;79
20250701 075000;22836.75;22836.75;22830.75;22831.75;119
20250701 075100;22831.25;22831.75;22824.75;22825.5;305
20250701 075200;22825.5;22826.75;22822.75;22825;123
20250701 075300;22825.25;22826.75;22824.5;22826.75;66
20250701 075400;22827;22834;22827;22833;111
20250701 075500;22833.75;22837.75;22833.75;22836;75
20250701 075600;22836.75;22840.5;22835.75;22838.5;78
20250701 075700;22839.5;22840;22835.5;22835.5;56
20250701 075800;22835.5;22837;22832.75;22833.5;70
20250701 075900;22834;22841.25;22834;22841;71
20250701 080000;22840.75;22844;22839.75;22842.75;136
20250701 080100;22844;22846.5;22839.25;22841;183
20250701 080200;22839.5;22843.25;22838;22838.5;90
20250701 080300;22838;22838.25;22818.25;22822.75;469
20250701 080400;22821.75;22826.25;22820.75;22823.75;156
20250701 080500;22823.75;22830.75;22821;22827.75;134
20250701 080600;22828;22831.5;22825.25;22826.5;157
20250701 080700;22827.5;22831.75;22824.5;22828.75;78
20250701 080800;22828.5;22828.5;22820.75;22826.25;157
20250701 080900;22825.25;22830;22823.5;22827.5;87
20250701 081000;22828.25;22834.5;22828.25;22833.75;113
20250701 081100;22833.25;22835.75;22831.25;22835;82
20250701 081200;22835.75;22837.75;22833.5;22835.5;131
20250701 081300;22834.25;22835.25;22830.25;22831.5;68
20250701 081400;22831;22831.75;22827.25;22830.5;63
20250701 081500;22831;22832.5;22826.75;22829.25;59
20250701 081600;22829;22835.75;22828.5;22835.5;67
20250701 081700;22835.75;22836;22828.5;22829.5;67
20250701 081800;22829.25;22834;22829.25;22834;79
20250701 081900;22833.25;22833.25;22828.5;22833;56
20250701 082000;22832.25;22832.25;22829;22831.5;24
20250701 082100;22832;22832.75;22828;22832.75;33
20250701 082200;22833;22837.5;22830.5;22836.25;80
20250701 082300;22835.5;22839.25;22834.5;22838;76
20250701 082400;22838.25;22843.5;22838;22841.5;97
20250701 082500;22842;22845.75;22841;22844;117
20250701 082600;22845;22846.25;22842.75;22843.25;52
20250701 082700;22842.75;22845.25;22842.5;22843.75;33
20250701 082800;22843;22844.25;22841.5;22843.25;36
20250701 082900;22843.75;22845.5;22841.75;22841.75;61
20250701 083000;22842.75;22849.5;22841.25;22847;111
20250701 083100;22847.25;22854;22846.25;22852.25;213
20250701 083200;22852;22854.5;22851;22851;93
20250701 083300;22850.75;22851.25;22843.5;22844.75;139
20250701 083400;22844.25;22845.25;22840;22843.75;84
20250701 083500;22844;22846.25;22843;22843.25;59
20250701 083600;22843.25;22850.25;22842;22849;93
20250701 083700;22849.5;22855.75;22849.25;22855.25;129
20250701 083800;22855.75;22858.25;22850;22851;117
20250701 083900;22850.25;22850.75;22842.75;22842.75;86
20250701 084000;22842.75;22843.75;22841;22842.25;69
20250701 084100;22842;22844;22840.5;22841;39
20250701 084200;22841.25;22841.25;22836.5;22839.25;111
20250701 084300;22840;22840;22833.75;22833.75;213
20250701 084400;22833.25;22833.25;22825.5;22830.75;240
20250701 084500;22831.25;22834.5;22828.75;22833.75;109
20250701 084600;22833.5;22837.75;22831;22833.5;104
